,Ep#,Title
229,607,Courtroom Confrontation IV: Juror Sumiko Kobayashi (Part 2)
230,629,The Promo Video Shooting Case (Part 1)
231,630,The Promo Video Shooting Case (Part 2)
232,631,What the Flower Clock Knew
233,634,The Super Narrow Shop Crime Scene
234,635,Beware of Dieting
235,636,The Most Useful School in the World Case (Part 1)
236,637,The Most Useful School in the World Case (Part 2)
237,638,Solving Mysteries at the Red Leaf Palace (Part 1)
238,639,Solving Mysteries at the Red Leaf Palace (Part 2)
239,640,The Memory Trip of the Eight Sketches (Okayama Part)
240,641,The Memory Trip of the Eight Sketches (Kurashiki Part)
241,658,The Hot Chocolate Trap
242,663,Chase the Miyama Stag Beetle
243,664,The Great Dog Coeur's Triumph 2
244,665,The Suspicious Initial K
245,666,The Rainy Night Menace
246,669,The Dark Tower's Hidden Treasure (Part 1)
247,670,The Dark Tower's Hidden Treasure (Part 2)
248,677,The Footprintless Beach
249,678,Nagasaki Mystery Theatre (End of the Edo)
250,679,Nagasaki Mystery Theatre (Modern Time)
251,680,Cactus Capriccio
252,686,A Car Carrying a Time Bomb
253,687,The Unsolvable Ice Trap
254,688,Detective Takagi Finds 30 Million Yen
255,689,The Client's Message
256,692,The Evening Cherry Blossom Viewing Route on Sumida River (Part 1)
257,693,The Evening Cherry Blossom Viewing Route on Sumida River (Part 2)
258,694,The Missing Sweets in the Old Shop
259,695,The Roses in the Vineyard
260,696,The Flowerbed Vandal's Scheme
261,697,The Window at the Girls' School
262,698,Unbelievable! The Case of the Crashed UFO
263,707,The Framed Great Detective
264,708,The Man Who Fell Slowly
265,709,An Unconfirmed Shocking Case
266,716,Dancing Demon at the Noh Mask Mansion (Part 1)
267,717,Dancing Demon at the Noh Mask Mansion (Part 2)
268,718,The Devil's Circuit
269,719,A Dispute Over a Platinum Ticket
270,720,Fire and Water Mystery Tour (Aso Part)
271,721,Fire and Water Mystery Tour (Kumamoto Part)
272,726,A Happy E-mail Brings Sadness
273,729,"The Diamond, the Painting, and the Great Actress"
274,730,The Figure That Was Too Good
275,733,The Wedding Reception and the Two Gunshots
276,735,The Coded Invitation
277,736,The Secret of the Statue of Kogoro Mouri
278,737,The Suspicious Walking Path
279,742,Promise with a J-Leaguer
280,743,Two Coincidental Successes
281,750,The Man Who Was Betrayed by the Sea
282,753,The Blind Spot in the Share House
283,757,The Comedian Who Turned Himself In (Part 1)
284,758,The Comedian Who Turned Himself In (Part 2)
285,761,Kaga Hyakumangoku Mystery Tour (Kanazawa Part)
286,762,Kaga Hyakumangoku Mystery Tour (Kaga Part)
287,767,The Lover Gone Missing in a Snowstorm
288,768,Ai Haibara Imprisonment Case
289,769,The Troublesome Emergency Patient
290,774,Munch's Missing Scream
291,775,The Manipulated Great Detective (Part 1)
292,776,The Manipulated Great Detective (Part 2)
293,777,Detective Boys vs. Elderly Detective League
294,778,Mirage of the Disappearing Angel
295,784,Welcome to Club Orihime
296,789,The Queen's Weather Forecast
297,790,Bekapon's Bleeding Service
298,791,Detective Takagi On the Run in Handcuffs
299,794,Bodyguard Kogoro Mouri
300,795,The Secret of the Missing Young Lady
301,796,The Lovebirds' Ruse
302,797,The Dreaming Girl's Confused Deduction
303,798,The Moving Target
304,799,Detective Boys' Locked Room Mystery Battle
305,800,After That Hundred Million Yen
306,801,Tottori Sand Dunes Mystery Tour (Kurayoshi Part)
307,802,Tottori Sand Dunes Mystery Tour (Tottori Part)
308,803,The Pitfall of Fire Precautions
309,804,Conan and Ebizo's Kabuki Jūhachiban Mystery (Part 1) (1 Hour Special)
310,805,Conan and Ebizo's Kabuki Jūhachiban Mystery (Part 2) (1 Hour Special)
311,806,The Ventriloquist's Illusion (Part 1)
312,807,The Ventriloquist's Illusion (Part 2)
313,813,The Shadow Approaching Amuro
314,816,The Disappointing and Kind Alien
315,817,The Missing Fiancée
316,818,Kogoro's Pursuit of Rage (Part 1)
317,819,Kogoro's Pursuit of Rage (Part 2)
318,820,The Seven People in the Waiting Room
319,821,The Hidden Secret of Dongaraji Temple
320,824,The Detective Boys Get Out of the Rain
321,825,The Tidal Park Comeback Case
322,826,"The Beauty, The Lies, and The Secrets"
323,829,The Mysterious Boy
324,833,The Great Detective's Weakness
325,834,The Man Who Died Twice (Part 1)
326,835,The Man Who Died Twice (Part 2)
327,838,Mysterious Case in a Hot Air Balloon
328,839,You Can Hear The Tengu's Voice
329,840,The Last Gift
330,841,The Rainy Bus Stop
331,842,Turning Point on a Driving Date
332,845,Conan Cornered in the Darkness (Part 1)
333,846,Conan Cornered in the Darkness (Part 2)
334,851,The Descent Into Hell Tour of Love (Beppu Chapter)
335,852,The Descent Into Hell Tour of Love (Oita Chapter)
336,855,The Mystery of the Vanished Black Belt
337,856,The Secret of the Celebrity Couple
338,857,The Shifting Mystery of Beika City (Part 1)
339,858,The Shifting Mystery of Beika City (Part 2)
340,859,The Dark Mountain Route
341,860,The Security System's Pitfall
342,865,The Foul-Mouthed Myna Bird
343,868,The Whistling Bookstore
344,869,Conan Disappeared on the Cliff (Part 1)
345,870,Conan Disappeared on the Cliff (Part 2)
346,871,The Nobunaga 450 Case
347,875,The Mysterious Prophetic Buddha
348,876,The Mechanical Witness
349,877,A Pair of Crossing Fates
350,880,The Detective Boys and the Ghost Mansion
351,883,The Pop-up Book Bomber (Part 1)
352,884,The Pop-up Book Bomber (Part 2)
353,891,Bakumatsu Revolution Mystery Tour (Yamaguchi Part)
354,892,Bakumatsu Revolution Mystery Tour (Hagi Part)
355,893,The Mystery of the Michelin Starred Restaurant
356,898,The Melting Cake!
357,899,The Real Culprit's Scream
358,900,Solving Mysteries in a Locked Room
359,903,Birds of a Feather at Loggerheads
360,904,Result of the Draw
361,905,Eyewitness Testimony Seven Years Later (Part 1)
362,906,Eyewitness Testimony Seven Years Later (Part 2)
363,907,The J League Bodyguard
364,908,Friendship Washed Away in the Riverbed
365,911,The Job Request from Inspector Megure
366,912,The Detective Boys Become Models
367,913,Conan Kidnapped (Part 1)
368,914,Conan Kidnapped (Part 2)
369,915,High School Girl Detective Sonoko Suzuki
370,918,The Mini Patrol Car Police's Big Chase
371,921,The Murderous Carpool
372,922,The Disappeared Detective Boys
373,923,A Day Without Conan
374,924,The Sun Sets in Tangerine Fields
375,929,A Woman Standing by the Window (Part 1)
376,930,A Woman Standing by the Window (Part 2)
377,931,The Northern Kyushu Mystery Tour (Kokura Arc)
378,932,The Northern Kyushu Mystery Tour (Moji Arc)
379,933,Thoroughbred Kidnapping Case‎‎ (Part 1)
380,934,Thoroughbred Kidnapping Case‎‎ (Part 2)
381,935,The Fortuneteller and the Three Customers‎‎
382,936,Intrigue at the Food Court
383,937,The Killer Fist of Talos (Part 1)
384,938,The Killer Fist of Talos (Part 2)
385,939,The Dangerous Fossil Finding Trip
386,940,The Missing Girlfriend
387,943,The Tokyo Barls Collection
388,944,The Cost of Likes (Part 1)
389,945,The Cost of Likes (Part 2)
390,946,The Cursed Tears of Borgia (Part 1)
391,947,The Cursed Tears of Borgia (Part 2)
392,948,The Man Crushed by a Dinosaur
393,949,The Radio Questions and Concerns Show (Challenge Arc)
394,950,The Radio Questions and Concerns Show (Solution Arc)
395,951,The Whistling Bookstore 2
396,955,The Secret of the Insect Man
397,956,The Mystery-Solving Water Taxi (Part 1)
398,957,The Mystery-Solving Water Taxi (Part 2)
399,958,The Poodle and the Shotgun (Part 1)
400,959,The Poodle and the Shotgun (Part 2)
401,960,Miss Lonely and the Detective Boys
402,961,The Glamping Mystery
403,962,Kogoro Mouri's Grand Lecture (Part 1)
404,963,Kogoro Mouri's Grand Lecture (Part 2)
405,964,Kogoro Mouri's Grand Lecture (Part 3)
406,965,Kaiju Gomera vs. Kamen Yaiba (Prologue)
407,966,Kaiju Gomera vs. Kamen Yaiba (Interlude)
408,967,Kaiju Gomera vs. Kamen Yaiba (Climax)
409,968,Kaiju Gomera vs. Kamen Yaiba (Finale)
410,969,The Young Kaga Lady's Mystery Tour (Part 1)
411,970,The Young Kaga Lady's Mystery Tour (Part 2)
412,975,The Secret of the Search for his Wife
413,976,Follow Them! Detective Taxi
414,977,The Broken Fishbowl
415,978,The Case On the Opposite Shore
416,979,Leading a Detective Around By the Nose
417,980,An Encouragement of the Perfect Crime
418,981,Welcome to Bocchan Restaurant (Part 1)
419,982,Welcome to Bocchan Restaurant (Part 2)
420,985,The Two Faces (Part 1)
421,986,The Two Faces (Part 2)
422,987,The Company Dissolution Party
423,988,The Feuding Girls
424,989,The Case of Ayumi's Illustrated Diary
425,990,The Automatic Tragedy (Part 1)
426,991,The Automatic Tragedy (Part 2)
427,992,Murder at the Townhouse Café
428,996,The Skilled Hawk Hides His Crime
429,997,Intrigue at Smile Village
430,998,The Frying Pan of Hatred
431,999,Troublesome Kindness
432,1002,The Beika City Shopping Center Garbage Bin Mystery
433,1006,Who Poisoned the Victim
434,1007,Out for Revenge (Part 1)
435,1008,Out for Revenge (Part 2)
436,1009,The Lost Article That Smells Like a Case
437,1010,The Idol Whose Smile Disappeared
438,1013,The Man Who Loved Too Much
439,1014,The Novelist Known as the Demon King
440,1015,Stakeout
441,1016,The Monorail Sniper Case (Part 1)
442,1017,The Monorail Sniper Case (Part 2)
443,1021,Rondo in Bad Company
444,1022,The Cursed Museum
445,1023,The Whistling Bookstore 3
446,1026,The Wordless Witness
447,1027,Beyond the Curtain
448,1028,Ballad of the Woman Who Loved Cake
449,1030,The Blank Year (Part 1)
450,1031,The Blank Year (Part 2)
451,1032,"Ran Mouri, The Model"
452,1036,Whiteout (Part 1)
453,1037,Whiteout (Part 2)
454,1039,The Flying Jack-o'-lantern
455,1040,The Case of Ayumi's Illustrated Diary 2
456,1041,The Unstated Alibi
457,1043,The Figure of Revenge
458,1044,The Deadly Pork Soup Signal
459,1047,The Red Sheep's Eerie Game (Part 1)
460,1048,The Red Sheep's Eerie Game (Part 2)
461,1049,The Threat to Megure's Police Career
462,1050,Intrigue at Morikawa Mansion (Part 1)
463,1051,Intrigue at Morikawa Mansion (Part 2)
464,1052,The Detective Boys' Test of Courage
